County,Year,Cract,Crart,Kilct,Kilrt,Serct,Serrt
ALBANY,2019,9930,300.945569,16,0.484907,227,6.879622
ALBANY,2020,7564,302.188429,16,0.639214,202,8.070077
ALBANY,2021,8832,294.513879,19,0.633578,252,8.403249
ALBANY,2022,9702,325.386484,23,0.771376,299,10.027887
ALBANY,2023,9308,294.099526,25,0.789911,327,10.332031
ALBANY,2024,9563,307.104082,17,0.545934,352,11.304051
RENSSELAER,2019,4155,309.083944,4,0.297554,117,8.703447
RENSSELAER,2020,3501,321.315881,12,1.10134,88,8.076492
RENSSELAER,2021,3751,294.293022,8,0.627658,148,11.611668
RENSSELAER,2022,4134,337.284914,12,0.979056,133,10.851208
RENSSELAER,2023,3831,296.326663,12,0.928196,105,8.121717
RENSSELAER,2024,3903,303.815796,13,1.011941,142,11.053508
SARATOGA,2019,5939,215.427418,19,0.689194,156,5.658642
SARATOGA,2020,4636,215.602837,18,0.837112,147,6.836414
SARATOGA,2021,5186,201.278073,7,0.271683,163,6.326326
SARATOGA,2022,4069,160.540686,22,0.868001,191,7.535825
SARATOGA,2023,5486,206.259599,15,0.563962,241,9.060985
SARATOGA,2024,5773,221.75206,15,0.576179,247,9.487746
SCHENECTADY,2019,4137,353.091794,7,0.597448,76,6.486579
SCHENECTADY,2020,3470,382.293319,11,1.211881,108,11.898466
SCHENECTADY,2021,3939,363.482008,10,0.922777,92,8.489552
SCHENECTADY,2022,4069,381.387109,9,0.843569,117,10.966403
SCHENECTADY,2023,3939,352.442221,8,0.7158,123,11.005431
SCHENECTADY,2024,4137,376.399557,18,1.637707,141,12.828701
