Outcome,Year,IRR,analytic_CI_lo,analytic_CI_hi,wcr_p_exact16
Crashes,2020,1.0233,0.9845,1.0636,0.125
Crashes,2021,0.9718,0.9328,1.0125,0.1875
Crashes,2022,0.9995,0.8114,1.2311,1.0
Crashes,2023,0.9728,0.9548,0.9912,0.0625
Crashes,2024,1.0239,0.9954,1.0533,0.1875
Fatalities,2020,1.5947,0.9955,2.5546,0.125
Fatalities,2021,1.0327,0.4499,2.3703,0.9375
Fatalities,2022,1.5752,1.1049,2.2456,0.125
Fatalities,2023,1.3584,0.7504,2.459,0.375
Fatalities,2024,1.4493,0.6959,3.0184,0.3125
Serious injuries,2020,1.2195,0.9634,1.5436,0.1875
Serious injuries,2021,1.2292,1.1232,1.3451,0.0625
Serious injuries,2022,1.4111,1.2595,1.5811,0.125
Serious injuries,2023,1.4391,1.1402,1.8163,0.1875
Serious injuries,2024,1.6203,1.3931,1.8845,0.125
