Outcome,Year,IRR,asym_CI_lo,asym_CI_hi,asym_p,wcb_CI_lo,wcb_CI_hi,wcb_t_crit95,wcr_p,sig_asym,sig_wcb
Crashes,2020,0.8352,0.7873,0.8861,0.0,0.7856,0.892,2.155,0.001,True,True
Crashes,2021,0.8952,0.816,0.9822,0.0193,0.7997,1.0083,2.431,0.0029,True,True
Crashes,2022,0.8736,0.7704,0.9906,0.0351,0.764,1.0016,2.112,0.0479,True,True
Crashes,2023,0.859,0.7448,0.9906,0.0367,0.7183,1.032,2.507,0.0303,True,True
Crashes,2024,0.8684,0.7431,1.0149,0.076,0.7002,1.0799,2.715,0.083,False,False
Fatalities,2020,1.311,1.0838,1.5858,0.0053,1.0693,1.6028,2.092,0.0029,True,True
Fatalities,2021,1.3326,1.179,1.5062,0.0,1.1693,1.522,2.111,0.0029,True,True
Fatalities,2022,1.2814,1.0931,1.5022,0.0022,1.0569,1.5711,2.467,0.002,True,True
Fatalities,2023,1.1979,1.0,1.4349,0.05,0.8991,1.6053,3.116,0.0898,False,False
Fatalities,2024,1.195,1.0282,1.3889,0.0202,1.0287,1.4049,1.99,0.0078,True,True
Serious injuries,2020,1.1091,1.024,1.2013,0.011,1.0016,1.2179,2.413,0.0439,True,True
Serious injuries,2021,0.9968,0.9052,1.0977,0.9488,0.9069,1.0946,1.917,0.957,False,False
Serious injuries,2022,0.9359,0.8379,1.0454,0.2407,0.8273,1.0577,2.195,0.2334,False,False
Serious injuries,2023,1.0199,0.9274,1.1216,0.6849,0.9207,1.1303,2.137,0.6543,False,False
Serious injuries,2024,1.0917,0.9721,1.226,0.1384,0.9582,1.2379,2.178,0.1357,False,False
