tau,rB_per1k,lamB,p_ge_1p5x,median_wrong,width95,p_signflip,median_right,width95_right
1.0,0.5,0.04,0.257,0.48,27.22,0.35,1.0,0.74
1.0,1.0,0.04,0.273,0.69,20.83,0.241,1.0,0.52
1.0,2.2,0.04,0.282,0.88,12.89,0.112,1.0,0.36
1.0,4.0,0.04,0.259,0.98,5.23,0.04,1.0,0.26
1.0,8.0,0.04,0.2,0.99,2.65,0.007,1.0,0.19
1.0,0.5,0.07,0.328,0.77,24.07,0.29,1.0,0.73
1.0,1.0,0.07,0.328,0.95,11.55,0.176,1.0,0.53
1.0,2.2,0.07,0.278,0.98,4.28,0.081,1.0,0.35
1.0,4.0,0.07,0.219,1.0,2.68,0.028,1.0,0.26
1.0,8.0,0.07,0.14,0.99,1.79,0.005,1.0,0.19
1.0,0.5,0.1,0.36,0.92,13.28,0.252,0.99,0.75
1.0,1.0,0.1,0.323,0.96,6.21,0.167,1.0,0.53
1.0,2.2,0.1,0.259,1.0,3.43,0.073,1.0,0.35
1.0,4.0,0.1,0.191,0.98,2.41,0.029,1.0,0.26
1.0,8.0,0.1,0.112,0.99,1.62,0.003,1.0,0.19
1.0,0.5,0.15,0.359,0.96,8.19,0.248,0.99,0.75
1.0,1.0,0.15,0.322,1.01,4.9,0.166,1.0,0.54
1.0,2.2,0.15,0.251,1.0,3.01,0.07,1.0,0.36
1.0,4.0,0.15,0.181,1.0,2.21,0.028,1.0,0.26
1.0,8.0,0.15,0.098,0.99,1.5,0.003,1.0,0.19
1.0,0.5,0.22,0.367,0.98,6.51,0.233,0.99,0.74
1.0,1.0,0.22,0.308,0.99,4.38,0.162,0.99,0.53
1.0,2.2,0.22,0.238,0.99,2.94,0.073,1.0,0.36
1.0,4.0,0.22,0.175,1.0,2.11,0.027,1.0,0.26
1.0,8.0,0.22,0.092,1.01,1.48,0.004,1.0,0.19
1.9,0.5,0.04,0.222,0.96,44.32,0.308,1.88,1.06
1.9,1.0,0.04,0.25,1.33,36.76,0.2,1.9,0.73
1.9,2.2,0.04,0.269,1.73,23.56,0.066,1.9,0.5
1.9,4.0,0.04,0.243,1.87,9.27,0.019,1.9,0.38
1.9,8.0,0.04,0.175,1.9,4.44,0.001,1.9,0.27
1.9,0.5,0.07,0.296,1.48,38.11,0.245,1.89,1.05
1.9,1.0,0.07,0.295,1.8,15.18,0.109,1.89,0.73
1.9,2.2,0.07,0.241,1.88,6.72,0.028,1.9,0.49
1.9,4.0,0.07,0.173,1.9,4.26,0.004,1.9,0.37
1.9,8.0,0.07,0.097,1.89,2.68,0.0,1.9,0.26
1.9,0.5,0.1,0.33,1.79,19.65,0.188,1.9,1.07
1.9,1.0,0.1,0.287,1.88,9.21,0.093,1.89,0.73
1.9,2.2,0.1,0.214,1.88,4.95,0.024,1.9,0.49
1.9,4.0,0.1,0.143,1.89,3.43,0.005,1.9,0.36
1.9,8.0,0.1,0.066,1.91,2.3,0.0,1.9,0.26
1.9,0.5,0.15,0.324,1.87,11.75,0.177,1.9,1.04
1.9,1.0,0.15,0.263,1.84,6.73,0.092,1.9,0.74
1.9,2.2,0.15,0.208,1.93,4.22,0.021,1.9,0.5
1.9,4.0,0.15,0.122,1.89,3.09,0.004,1.9,0.37
1.9,8.0,0.15,0.05,1.9,2.18,0.0,1.9,0.26
1.9,0.5,0.22,0.324,1.9,9.31,0.178,1.9,1.04
1.9,1.0,0.22,0.259,1.86,6.15,0.093,1.9,0.73
1.9,2.2,0.22,0.171,1.89,4.06,0.025,1.9,0.49
1.9,4.0,0.22,0.109,1.9,2.99,0.005,1.9,0.37
1.9,8.0,0.22,0.038,1.89,2.06,0.0,1.9,0.27
