county,crashes_2019,crashes_2024,crashes_pct,fatalities_2019,fatalities_2024,fatalities_pct,vmt_pct,crash_rate_RR,fatal_rate_RR,flip_counts_say_safer_rate_says_worse
Bronx,22838,14733,-35.489,27,52,92.593,-6.635,0.691,2.063,False
Kings,38012,27115,-28.667,71,64,-9.859,-9.536,0.789,0.996,False
Nassau,41862,39177,-6.414,74,67,-9.459,-8.396,1.022,0.988,False
New York,22363,14022,-37.298,37,41,10.811,-14.513,0.733,1.296,False
Putnam,2578,2483,-3.685,6,9,50.0,-2.963,0.993,1.546,False
Queens,43830,27983,-36.156,68,71,4.412,-7.392,0.689,1.127,True
Richmond,7181,5073,-29.355,8,13,62.5,-8.706,0.774,1.78,False
Rockland,7849,9593,22.219,14,17,21.429,-0.623,1.23,1.222,False
Suffolk,42485,40801,-3.964,115,118,2.609,-8.779,1.053,1.125,True
Westchester,23032,20898,-9.265,30,43,43.333,-1.196,0.918,1.451,False
